Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
339,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
340,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
341,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
342,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
343,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
344,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
345,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
346,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.43145085,0.53547778,34.5,1.5378191,Closed,16
347,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.20165685,0.50537478,34.5,1.5378191,Closed,16
348,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
349,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
350,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.31456304,0.52042628,34.5,1.5378191,Closed,16
351,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
352,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.09259667,0.49032328,34.5,1.5378191,Closed,16
353,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
354,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
355,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,3.5524607,0.55052928,34.5,1.5378191,Closed,16
356,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.60055345,0.41506578,34.5,1.5378191,Closed,16
357,Mammalia,Mammalia,Primates,Bonobo,,,Pan paniscus,Pan paniscus,2.88549472,0.46022028,34.5,1.5378191,Closed,16
358,Mammalia,Mammalia,Primates,Chimpanzee,1205.859375,3.081296664,Pan troglodytes,Pan troglodytes,1.171875,0.06888129,45,1.65321251,Semi-Closed,25
359,Mammalia,Mammalia,Primates,Chimpanzee,1851.855469,3.267607088,Pan troglodytes,Pan troglodytes,3.09259667,0.49032328,45,1.65321251,Semi-Closed,25
360,Mammalia,Mammalia,Primates,Chimpanzee,1485.791016,3.171957728,Pan troglodytes,Pan troglodytes,2.98725147,0.47527178,45,1.65321251,Semi-Closed,25
361,Mammalia,Mammalia,Primates,Chimpanzee,1033.59375,3.014349875,Pan troglodytes,Pan troglodytes,1.90371655,0.27960229,45,1.65321251,Semi-Closed,25
362,Mammalia,Mammalia,Primates,Chimpanzee,1679.589844,3.22520324,Pan troglodytes,Pan troglodytes,2.34375,0.36991129,45,1.65321251,Semi-Closed,25
363,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.34375,0.36991129,45,1.65321251,Semi-Closed,25
364,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.26391327,0.35485979,45,1.65321251,Semi-Closed,25
365,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.97085097,0.29465379,45,1.65321251,Semi-Closed,25
366,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.98725147,0.47527178,45,1.65321251,Semi-Closed,25
367,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.78720418,0.44516878,45,1.65321251,Semi-Closed,25
368,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,3.09259667,0.49032328,45,1.65321251,Semi-Closed,25
369,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.44274736,0.15919029,45,1.65321251,Semi-Closed,25
370,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.98725147,0.47527178,45,1.65321251,Semi-Closed,25
371,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.30027673,0.11403579,45,1.65321251,Semi-Closed,25
372,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.05615289,0.02372679,45,1.65321251,Semi-Closed,25
373,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.65728152,0.21939629,45,1.65321251,Semi-Closed,25
374,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,1.54629833,0.18929329,45,1.65321251,Semi-Closed,25
375,Mammalia,Mammalia,Primates,Chimpanzee,,,Pan troglodytes,Pan troglodytes,2.34375,0.36991129,45,1.65321251,Semi-Closed,25
376,Mammalia,Mammalia,Eulipotyphla,Common Shrew,10422.07031,4.017953999,Sorex araneus,Sorex araneus,10.0478762,1.00207428,0.00975,-2.01099538,Semi-Closed,5
377,Mammalia,Mammalia,Eulipotyphla,Common Shrew,8268.75,3.917439862,Sorex araneus,Sorex araneus,10.0478762,1.00207428,0.00975,-2.01099538,Semi-Closed,5
378,Mammalia,Mammalia,Eulipotyphla,Common Shrew,10508.20313,4.021528459,Sorex araneus,Sorex araneus,10.0478762,1.00207428,0.00975,-2.01099538,Semi-Closed,5
379,Mammalia,Mammalia,Eulipotyphla,Common Shrew,10077.53906,4.00335449,Sorex araneus,Sorex araneus,9.70560866,0.98702278,0.00975,-2.01099538,Semi-Closed,5
380,Mammalia,Mammalia,Eulipotyphla,Common Shrew,9388.476563,3.972595126,Sorex araneus,Sorex araneus,9.375,0.97197128,0.00975,-2.01099538,Semi-Closed,5
381,Mammalia,Mammalia,Scadentia,Common Threesrew,2777.783203,3.443698347,Tupaia glis,Tupaiabelangeri,3.94170195,0.59568378,0.14,-0.85387196,Closed,10
382,Mammalia,Mammalia,Scadentia,Common Threesrew,2433.251953,3.386187081,Tupaia glis,Tupaiabelangeri,3.5524607,0.55052928,0.14,-0.85387196,Closed,10
383,Mammalia,Mammalia,Scadentia,Common Threesrew,2454.785156,3.390013488,Tupaia glis,Tupaiabelangeri,3.5524607,0.55052928,0.14,-0.85387196,Closed,10
384,Mammalia,Mammalia,Carnivora,Dog,409.1308594,2.611862238,Canis lupus familiaris,Canis lupus familiaris,1.44274736,0.15919029,20,1.30103,Open,8
385,Mammalia,Mammalia,Carnivora,Dog,452.1972656,2.655327932,Canis lupus familiaris,Canis lupus familiaris,1.39360209,0.14413879,20,1.30103,Open,8
386,Mammalia,Mammalia,Carnivora,Dog,495.2636719,2.694836473,Canis lupus familiaris,Canis lupus familiaris,1.34613089,0.12908729,20,1.30103,Open,8
387,Mammalia,Mammalia,Carnivora,Dog,559.8632813,2.748081985,Canis lupus familiaris,Canis lupus familiaris,1.49362574,0.17424179,20,1.30103,Open,8
388,Mammalia,Mammalia,Carnivora,Dog,818.2617188,2.912892234,Canis lupus familiaris,Canis lupus familiaris,1.60082843,0.20434479,20,1.30103,Open,8
389,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,1.65728152,0.21939629,20,1.30103,Open,8
390,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,0.29296875,-0.5331787,20,1.30103,Open,8
391,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,0.82864076,-0.08163371,20,1.30103,Open,8
392,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,0.37340643,-0.4278182,20,1.30103,Open,8
393,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,1.49362574,0.17424179,20,1.30103,Open,8
394,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,2.78720418,0.44516878,20,1.30103,Open,8
395,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,3.5524607,0.55052928,20,1.30103,Open,8
396,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,2.42640217,0.38496279,20,1.30103,Open,8
397,Mammalia,Mammalia,Carnivora,Dog,,,Canis lupus familiaris,Canis lupus familiaris,3.5524607,0.55052928,20,1.30103,Open,8
398,Mammalia,Mammalia,Perissodactyla,Domestic Horse,527.5634766,2.722274722,Equus ferus caballus,Equus caballus,1.65728152,0.21939629,250,2.39794001,Open,10
399,Mammalia,Mammalia,Perissodactyla,Domestic Horse,516.796875,2.713319879,Equus ferus caballus,Equus caballus,1.05615289,0.02372679,250,2.39794001,Open,10
400,Mammalia,Mammalia,Perissodactyla,Domestic Horse,1561.157227,3.193446644,Equus ferus caballus,Equus caballus,0.29063312,-0.5366549,250,2.39794001,Open,10
401,Mammalia,Mammalia,Perissodactyla,Domestic Horse,2444.018555,3.388104499,Equus ferus caballus,Equus caballus,1.49362574,0.17424179,250,2.39794001,Open,10
402,Mammalia,Mammalia,Perissodactyla,Domestic Horse,2110.253906,3.324334713,Equus ferus caballus,Equus caballus,7.88340389,0.89671378,250,2.39794001,Open,10
403,Mammalia,Mammalia,Artiodactyla,Domestic Pig,495.2636719,2.694836473,Sus scrofa domesticus,Sus scrofa domesticus,1.21320108,0.08393279,220,2.34242268,Open,4
404,Mammalia,Mammalia,Artiodactyla,Domestic Pig,473.7304688,2.675531318,Sus scrofa domesticus,Sus scrofa domesticus,2.98725147,0.47527178,220,2.34242268,Open,4
405,Mammalia,Mammalia,Artiodactyla,Domestic Pig,430.6640625,2.634138633,Sus scrofa domesticus,Sus scrofa domesticus,2.69226177,0.43011728,220,2.34242268,Open,4
406,Mammalia,Mammalia,Artiodactyla,Domestic Pig,645.9960938,2.810229892,Sus scrofa domesticus,Sus scrofa domesticus,1.44274736,0.15919029,220,2.34242268,Open,4
407,Mammalia,Mammalia,Artiodactyla,Domestic Pig,301.4648438,2.479236673,Sus scrofa domesticus,Sus scrofa domesticus,2.04035288,0.30970529,220,2.34242268,Open,4
408,Mammalia,Mammalia,Artiodactyla,European Roe,1055.126953,3.023304717,Capreolus capreolus,Cervus elaphus,1.97085097,0.29465379,22.mai,1.35218252,Semi-Closed,4
409,Mammalia,Mammalia,Artiodactyla,European Roe,2304.052734,3.362492415,Capreolus capreolus,Cervus elaphus,2.34375,0.36991129,22.mai,1.35218252,Semi-Closed,4
410,Mammalia,Mammalia,Artiodactyla,European Roe,1291.992188,3.111259888,Capreolus capreolus,Cervus elaphus,2.51196905,0.40001429,22.mai,1.35218252,Semi-Closed,4
411,Mammalia,Mammalia,Artiodactyla,European Roe,1421.191406,3.152652573,Capreolus capreolus,Cervus elaphus,3.09259667,0.49032328,22.mai,1.35218252,Semi-Closed,4
412,Mammalia,Mammalia,Artiodactyla,European Roe,1205.859375,3.081296664,Capreolus capreolus,Cervus elaphus,1.97085097,0.29465379,22.mai,1.35218252,Semi-Closed,4
413,Mammalia,Mammalia,Rodentia,Guinea Pig,2304.052734,3.362492415,Cavia porcellus,Cavia porcellus,1.90371655,0.27960229,0.645,-0.19044029,Open,11
414,Mammalia,Mammalia,Rodentia,Guinea Pig,1851.855469,3.267607088,Cavia porcellus,Cavia porcellus,2.51196905,0.40001429,0.645,-0.19044029,Open,11
415,Mammalia,Mammalia,Rodentia,Guinea Pig,3014.648438,3.479236673,Cavia porcellus,Cavia porcellus,3.09259667,0.49032328,0.645,-0.19044029,Open,11
416,Mammalia,Mammalia,Rodentia,Guinea Pig,2174.853516,3.337430011,Cavia porcellus,Cavia porcellus,2.04035288,0.30970529,0.645,-0.19044029,Open,11
417,Mammalia,Mammalia,Rodentia,Guinea Pig,2583.984375,3.412289883,Cavia porcellus,Cavia porcellus,2.69226177,0.43011728,0.645,-0.19044029,Open,11
418,Mammalia,Mammalia,Rodentia,Guinea Pig,,,Cavia porcellus,Cavia porcellus,2.98725147,0.47527178,0.645,-0.19044029,Open,11
419,Mammalia,Mammalia,Rodentia,Guinea Pig,,,Cavia porcellus,Cavia porcellus,2.88549472,0.46022028,0.645,-0.19044029,Open,11
420,Mammalia,Mammalia,Rodentia,Guinea Pig,,,Cavia porcellus,Cavia porcellus,2.98725147,0.47527178,0.645,-0.19044029,Open,11
421,Mammalia,Mammalia,Rodentia,Guinea Pig,,,Cavia porcellus,Cavia porcellus,3.09259667,0.49032328,0.645,-0.19044029,Open,11
422,Mammalia,Mammalia,Rodentia,Guinea Pig,,,Cavia porcellus,Cavia porcellus,3.20165685,0.50537478,0.645,-0.19044029,Open,11
423,Mammalia,Mammalia,Primates,Hamadryas Baboon,516.796875,2.713319879,Papio hamadryas,Papio hamadryas,2.26391327,0.35485979,15.juil,1.19589965,Semi-Closed,10
424,Mammalia,Mammalia,Primates,Hamadryas Baboon,559.8632813,2.748081985,Papio hamadryas,Papio hamadryas,3.09259667,0.49032328,15.juil,1.19589965,Semi-Closed,10
425,Mammalia,Mammalia,Primates,Hamadryas Baboon,387.5976563,2.588381142,Papio hamadryas,Papio hamadryas,3.80743311,0.58063228,15.juil,1.19589965,Semi-Closed,10
426,Mammalia,Mammalia,Primates,Hamadryas Baboon,495.2636719,2.694836473,Papio hamadryas,Papio hamadryas,1.60082843,0.20434479,15.juil,1.19589965,Semi-Closed,10
427,Mammalia,Mammalia,Primates,Hamadryas Baboon,452.1972656,2.655327932,Papio hamadryas,Papio hamadryas,2.51196905,0.40001429,15.juil,1.19589965,Semi-Closed,10
428,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,3.09259667,0.49032328,15.juil,1.19589965,Semi-Closed,10
429,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,3.09259667,0.49032328,15.juil,1.19589965,Semi-Closed,10
430,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,3.67773796,0.56558078,15.juil,1.19589965,Semi-Closed,10
431,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.69226177,0.43011728,15.juil,1.19589965,Semi-Closed,10
432,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.51196905,0.40001429,15.juil,1.19589965,Semi-Closed,10
433,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.60055345,0.41506578,15.juil,1.19589965,Semi-Closed,10
434,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.98725147,0.47527178,15.juil,1.19589965,Semi-Closed,10
435,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.51196905,0.40001429,15.juil,1.19589965,Semi-Closed,10
436,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.98725147,0.47527178,15.juil,1.19589965,Semi-Closed,10
437,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,3.5524607,0.55052928,15.juil,1.19589965,Semi-Closed,10
438,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,3.5524607,0.55052928,15.juil,1.19589965,Semi-Closed,10
439,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.171875,0.06888129,15.juil,1.19589965,Semi-Closed,10
440,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.44274736,0.15919029,15.juil,1.19589965,Semi-Closed,10
441,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.90371655,0.27960229,15.juil,1.19589965,Semi-Closed,10
442,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.71572543,0.23444779,15.juil,1.19589965,Semi-Closed,10
443,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.49362574,0.17424179,15.juil,1.19589965,Semi-Closed,10
444,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.83886898,0.26455079,15.juil,1.19589965,Semi-Closed,10
445,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.18679607,0.33980829,15.juil,1.19589965,Semi-Closed,10
446,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.90371655,0.27960229,15.juil,1.19589965,Semi-Closed,10
447,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.04035288,0.30970529,15.juil,1.19589965,Semi-Closed,10
448,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.42640217,0.38496279,15.juil,1.19589965,Semi-Closed,10
449,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.54629833,0.18929329,15.juil,1.19589965,Semi-Closed,10
450,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.54629833,0.18929329,15.juil,1.19589965,Semi-Closed,10
451,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.11230577,0.32475679,15.juil,1.19589965,Semi-Closed,10
452,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.95227766,0.29054158,15.juil,1.19589965,Semi-Closed,10
453,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.5578635,0.1925294,15.juil,1.19589965,Semi-Closed,10
454,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.31866825,0.36523862,15.juil,1.19589965,Semi-Closed,10
455,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.68161435,0.22572641,15.juil,1.19589965,Semi-Closed,10
456,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.5862069,0.41266327,15.juil,1.19589965,Semi-Closed,10
457,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,1.68329177,0.2261594,15.juil,1.19589965,Semi-Closed,10
458,Mammalia,Mammalia,Primates,Hamadryas Baboon,,,Papio hamadryas,Papio hamadryas,2.08333333,0.31875876,15.juil,1.19589965,Semi-Closed,10
459,Mammalia,Mammalia,Rodentia,House Mouse,3445.3125,3.53722862,Mus musculus,Mus musculus,5.38452354,0.73114728,0.0255,-1.59345982,Open,11
460,Mammalia,Mammalia,Rodentia,House Mouse,2863.916016,3.456960278,Mus musculus,Mus musculus,7.35547592,0.86661078,0.0255,-1.59345982,Open,11
461,Mammalia,Mammalia,Rodentia,House Mouse,2928.515625,3.466647546,Mus musculus,Mus musculus,avr.75,0.67094128,0.0255,-1.59345982,Open,11
462,Mammalia,Mammalia,Rodentia,House Mouse,3423.779297,3.534505762,Mus musculus,Mus musculus,3.94170195,0.59568378,0.0255,-1.59345982,Open,11
463,Mammalia,Mammalia,Rodentia,House Mouse,2950.048828,3.469829204,Mus musculus,Mus musculus,avr.75,0.67094128,0.0255,-1.59345982,Open,11
464,Mammalia,Mammalia,Artiodactyla,Humpback Whale,258.3984375,2.412289883,Megaptera novaeangliae,Megaptera novaeangliae,1.21320108,0.08393279,27500,4.43933269,Water,17
465,Mammalia,Mammalia,Artiodactyla,Humpback Whale,129.1992188,2.111259888,Megaptera novaeangliae,Megaptera novaeangliae,2.88549472,0.46022028,27500,4.43933269,Water,17
466,Mammalia,Mammalia,Artiodactyla,Humpback Whale,150.7324219,2.178206677,Megaptera novaeangliae,Megaptera novaeangliae,2.98725147,0.47527178,27500,4.43933269,Water,17
467,Mammalia,Mammalia,Artiodactyla,Humpback Whale,236.8652344,2.374501322,Megaptera novaeangliae,Megaptera novaeangliae,1.05615289,0.02372679,27500,4.43933269,Water,17
468,Mammalia,Mammalia,Artiodactyla,Humpback Whale,,,Megaptera novaeangliae,Megaptera novaeangliae,0.98542549,-0.00637621,27500,4.43933269,Water,17
469,Mammalia,Mammalia,Artiodactyla,Hyppopotamus,75.36621094,1.877176682,Hippopotamus amphibius,Hippopotamus amphibius,2.60055345,0.41506578,1550,3.1903317,Wetland,10
470,Mammalia,Mammalia,Artiodactyla,Hyppopotamus,64.59960938,1.810229892,Hippopotamus amphibius,Hippopotamus amphibius,2.88549472,0.46022028,1550,3.1903317,Wetland,10
471,Mammalia,Mammalia,Artiodactyla,Hyppopotamus,75.36621094,1.877176682,Hippopotamus amphibius,Hippopotamus amphibius,0.91943449,-0.03647921,1550,3.1903317,Wetland,10
472,Mammalia,Mammalia,Carnivora,Lion,150.7324219,2.178206677,Panthera leo,Panthera leo,1.02017644,0.00867529,188.5,2.27531136,Semi-Closed,10
473,Mammalia,Mammalia,Carnivora,Lion,172.265625,2.236198624,Panthera leo,Panthera leo,1.49362574,0.17424179,188.5,2.27531136,Semi-Closed,10
474,Mammalia,Mammalia,Carnivora,Lion,161.4990234,2.2081699,Panthera leo,Panthera leo,1.90371655,0.27960229,188.5,2.27531136,Semi-Closed,10
475,Mammalia,Mammalia,Carnivora,Lion,118.4326172,2.073471327,Panthera leo,Panthera leo,1.44274736,0.15919029,188.5,2.27531136,Semi-Closed,10
476,Mammalia,Mammalia,Carnivora,Lion,139.9658203,2.146021994,Panthera leo,Panthera leo,1.25598453,0.09898429,188.5,2.27531136,Semi-Closed,10
477,Mammalia,Mammalia,Carnivora,Lycaon,990.5273438,2.995866469,Lycaon pictus,Lycaon pictus,2.18679607,0.33980829,26.25,1.41912931,Semi-Closed,10
478,Mammalia,Mammalia,Carnivora,Lycaon,1765.722656,3.246922489,Lycaon pictus,Lycaon pictus,2.04035288,0.30970529,26.25,1.41912931,Semi-Closed,10
479,Mammalia,Mammalia,Carnivora,Lycaon,1119.726563,3.049111981,Lycaon pictus,Lycaon pictus,6.4033137,0.80640478,26.25,1.41912931,Semi-Closed,10
480,Mammalia,Mammalia,Carnivora,Lycaon,1124.745268,3.051054175,Lycaon pictus,Lycaon pictus,3.31456304,0.52042628,26.25,1.41912931,Semi-Closed,10
481,Mammalia,Mammalia,Carnivora,Lycaon,1937.988281,3.287351147,Lycaon pictus,Lycaon pictus,2.04035288,0.30970529,26.25,1.41912931,Semi-Closed,10
482,Mammalia,Mammalia,Carnivora,Lycaon,,,Lycaon pictus,Lycaon pictus,3.94170195,0.59568378,26.25,1.41912931,Semi-Closed,10
483,Mammalia,Mammalia,Primates,Orang Outan,387.5976563,2.588381142,Pongo pygmaeus,Pongo pygmaeus,0.62799226,-0.20204571,60,1.77815125,Closed,28
484,Mammalia,Mammalia,Primates,Orang Outan,387.5976563,2.588381142,Pongo pygmaeus,Pongo pygmaeus,0.91943449,-0.03647921,60,1.77815125,Closed,28
485,Mammalia,Mammalia,Primates,Orang Outan,516.796875,2.713319879,Pongo pygmaeus,Pongo pygmaeus,1.21320108,0.08393279,60,1.77815125,Closed,28
486,Mammalia,Mammalia,Primates,Orang Outan,624.4628906,2.795506635,Pongo pygmaeus,Pongo pygmaeus,0.85786271,-0.06658221,60,1.77815125,Closed,28
487,Mammalia,Mammalia,Primates,Orang Outan,322.9980469,2.509199896,Pongo pygmaeus,Pongo pygmaeus,0.56597832,-0.24720021,60,1.77815125,Closed,28
488,Mammalia,Mammalia,Lagomorpha,Pika,6750.65918,3.829346182,Ochotona dauurica,Ochotona dauurica,2.98725147,0.47527178,0.5015,-0.29972906,Open,7
489,Mammalia,Mammalia,Lagomorpha,Pika,3068.481445,3.486923501,Ochotona dauurica,Ochotona dauurica,4.08070577,0.61073528,0.5015,-0.29972906,Open,7
490,Mammalia,Mammalia,Lagomorpha,Pika,9431.542969,3.974582748,Ochotona dauurica,Ochotona dauurica,6.8629017,0.83650778,0.5015,-0.29972906,Open,7
491,Mammalia,Mammalia,Lagomorpha,Pika,3714.477539,3.569897737,Ochotona dauurica,Ochotona dauurica,2.34375,0.36991129,0.5015,-0.29972906,Open,7
492,Mammalia,Mammalia,Lagomorpha,Pika,6029.296875,3.780266669,Ochotona dauurica,Ochotona dauurica,2.34375,0.36991129,0.5015,-0.29972906,Open,7
493,Mammalia,Mammalia,Primates,Rhesus Macaque,5297.167969,3.724043744,Macaca mulatta,Macaca mulatta,2.04035288,0.30970529,08.juin,0.93449845,Closed,10
494,Mammalia,Mammalia,Primates,Rhesus Macaque,2971.582031,3.472987724,Macaca mulatta,Macaca mulatta,2.26391327,0.35485979,08.juin,0.93449845,Closed,10
495,Mammalia,Mammalia,Primates,Rhesus Macaque,3251.513672,3.512085584,Macaca mulatta,Macaca mulatta,1.71572543,0.23444779,08.juin,0.93449845,Closed,10
496,Mammalia,Mammalia,Primates,Rhesus Macaque,3768.310547,3.576146686,Macaca mulatta,Macaca mulatta,2.42640217,0.38496279,08.juin,0.93449845,Closed,10
497,Mammalia,Mammalia,Primates,Rhesus Macaque,3488.378906,3.542623652,Macaca mulatta,Macaca mulatta,2.26391327,0.35485979,08.juin,0.93449845,Closed,10
498,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,2.34375,0.36991129,08.juin,0.93449845,Closed,10
499,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,1.90371655,0.27960229,08.juin,0.93449845,Closed,10
500,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,1.90371655,0.27960229,08.juin,0.93449845,Closed,10
501,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,2.34375,0.36991129,08.juin,0.93449845,Closed,10
502,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,2.51196905,0.40001429,08.juin,0.93449845,Closed,10
503,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,2.51196905,0.40001429,08.juin,0.93449845,Closed,10
504,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,2.18679607,0.33980829,08.juin,0.93449845,Closed,10
505,Mammalia,Mammalia,Primates,Rhesus Macaque,,,Macaca mulatta,Macaca mulatta,3.94170195,0.59568378,08.juin,0.93449845,Closed,10
506,Mammalia,Mammalia,Hyracoidea,Rock Hyrax,2928.515625,3.466647546,Procavia capensis,Procavia capensis,5.57440835,0.74619878,03.juin,0.5563025,Open,21
507,Mammalia,Mammalia,Hyracoidea,Rock Hyrax,2583.984375,3.412289883,Procavia capensis,Procavia capensis,5.02393811,0.70104428,03.juin,0.5563025,Open,21
