Rhythm_vocal_subset
Group,Group_Simple,Order,Common_Name,Dominant_Frequency,Log_Dominant_Frequency,Scientific_Name,Scientific_Name_.Replacement_Species.,Frequency,Log_Frequency,Weight,Log_Weight,Environement,Mastication,Vocal_Repertoire
84,Aves,Aves,Otidiformes,Northen Black Korhaan,2096.47518,3.321489725,Afrotis afraoides,Ardeotis kori,2.69226177,0.43011728,0.7,-0.15490196,Open,5
85,Aves,Aves,Otidiformes,Northen Black Korhaan,2540.917969,3.404990644,Afrotis afraoides,Ardeotis kori,2.98725147,0.47527178,0.7,-0.15490196,Open,5
86,Aves,Aves,Procellariiformes,Northern Fulmar,1464.257813,3.16561755,Fulmarus glacialis,Daption capense,4.22461154,0.62578678,0.7675,-0.11492162,Shore,6
87,Aves,Aves,Procellariiformes,Northern Fulmar,1205.859375,3.081296664,Fulmarus glacialis,Daption capense,8.16141153,0.91176528,0.7675,-0.11492162,Shore,6
88,Aves,Aves,Procellariiformes,Northern Fulmar,1033.59375,3.014349875,Fulmarus glacialis,Daption capense,10.0478762,1.00207428,0.7675,-0.11492162,Shore,6
89,Aves,Aves,Procellariiformes,Northern Fulmar,1119.726563,3.049111981,Fulmarus glacialis,Daption capense,10.0478762,1.00207428,0.7675,-0.11492162,Shore,6
90,Aves,Aves,Procellariiformes,Northern Fulmar,1205.859375,3.081296664,Fulmarus glacialis,Daption capense,7.61486622,0.88166228,0.7675,-0.11492162,Shore,6
91,Aves,Aves,Falconiformes,Peregrine Falcon,2347.119141,3.370535135,Falco peregrinus,Falco peregrinus,3.5524607,0.55052928,1.025,0.01072387,Shore,4
92,Aves,Aves,Falconiformes,Peregrine Falcon,2519.384766,3.401294499,Falco peregrinus,Falco peregrinus,1.97085097,0.29465379,1.025,0.01072387,Shore,4
93,Aves,Aves,Falconiformes,Peregrine Falcon,2110.253906,3.324334713,Falco peregrinus,Falco peregrinus,3.20165685,0.50537478,1.025,0.01072387,Shore,4
94,Aves,Aves,Falconiformes,Peregrine Falcon,2131.787109,3.328743832,Falco peregrinus,Falco peregrinus,3.94170195,0.59568378,1.025,0.01072387,Shore,4
95,Aves,Aves,Falconiformes,Peregrine Falcon,2217.919922,3.345945862,Falco peregrinus,Falco peregrinus,4.37359215,0.64083828,1.025,0.01072387,Shore,4
96,Aves,Aves,Falconiformes,Peregrine Falcon,,,Falco peregrinus,Falco peregrinus,1.171875,0.06888129,1.025,0.01072387,Shore,4
97,Aves,Aves,Falconiformes,Peregrine Falcon,,,Falco peregrinus,Falco peregrinus,1.54629833,0.18929329,1.025,0.01072387,Shore,4
98,Aves,Aves,Falconiformes,Peregrine Falcon,,,Falco peregrinus,Falco peregrinus,1.13195664,0.05382979,1.025,0.01072387,Shore,4
99,Aves,Aves,Falconiformes,Peregrine Falcon,,,Falco peregrinus,Falco peregrinus,0.85786271,-0.06658221,1.025,0.01072387,Shore,4
100,Aves,Aves,Falconiformes,Peregrine Falcon,,,Falco peregrinus,Falco peregrinus,1.171875,0.06888129,1.025,0.01072387,Shore,4
101,Aves,Aves,Charadriiformes,Polar Skua,1604.223633,3.20526491,Stercorarius maccormicki,Stercorariusparasiticus,3.5524607,0.55052928,0.75,-0.12493874,Shore,5
102,Aves,Aves,Charadriiformes,Polar Skua,1991.821289,3.29925037,Stercorarius maccormicki,Stercorariusparasiticus,3.94170195,0.59568378,0.75,-0.12493874,Shore,5
103,Aves,Aves,Charadriiformes,Polar Skua,2190.75486,3.340593784,Stercorarius maccormicki,Stercorariusparasiticus,3.43145085,0.53547778,0.75,-0.12493874,Shore,5
104,Aves,Aves,Charadriiformes,Polar Skua,2142.553711,3.330931718,Stercorarius maccormicki,Stercorariusparasiticus,3.67773796,0.56558078,0.75,-0.12493874,Shore,5
105,Aves,Aves,Charadriiformes,Polar Skua,,,Stercorarius maccormicki,Stercorariusparasiticus,3.31456304,0.52042628,0.75,-0.12493874,Shore,5
106,Aves,Aves,Charadriiformes,Polar Skua,,,Stercorarius maccormicki,Stercorariusparasiticus,3.20165685,0.50537478,0.75,-0.12493874,Shore,5
107,Aves,Aves,Charadriiformes,Polar Skua,,,Stercorarius maccormicki,Stercorariusparasiticus,4.85280433,0.68599278,0.75,-0.12493874,Shore,5
108,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,1.77623035,0.24949929,0.0105,-1.9788107,Closed,8
109,Aves,Aves,Passeriformes,Red Breasted Nuthatch,2842.382813,3.453682568,Sitta canadensis,Sittaeuropaea,1.65728152,0.21939629,0.0105,-1.9788107,Closed,8
110,Aves,Aves,Passeriformes,Red Breasted Nuthatch,2519.384766,3.401294499,Sitta canadensis,Sittaeuropaea,1.44274736,0.15919029,0.0105,-1.9788107,Closed,8
111,Aves,Aves,Passeriformes,Red Breasted Nuthatch,2648.583984,3.423013749,Sitta canadensis,Sittaeuropaea,1.77623035,0.24949929,0.0105,-1.9788107,Closed,8
112,Aves,Aves,Passeriformes,Red Breasted Nuthatch,2648.583984,3.423013749,Sitta canadensis,Sittaeuropaea,1.77623035,0.24949929,0.0105,-1.9788107,Closed,8
113,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,4.37359215,0.64083828,0.0105,-1.9788107,Closed,8
114,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,5.2011069,0.71609578,0.0105,-1.9788107,Closed,8
115,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,3.80743311,0.58063228,0.0105,-1.9788107,Closed,8
116,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,3.31456304,0.52042628,0.0105,-1.9788107,Closed,8
117,Aves,Aves,Passeriformes,Red Breasted Nuthatch,,,Sitta canadensis,Sittaeuropaea,3.5524607,0.55052928,0.0105,-1.9788107,Closed,8
118,Aves,Aves,Galiiformes,Red Legged Partridge,3811.376953,3.581081904,Alectoris rufa,Alectoris chukar,2.98725147,0.47527178,0.469,-0.32882716,Open,14
119,Aves,Aves,Galiiformes,Red Legged Partridge,2368.652344,3.374501322,Alectoris rufa,Alectoris chukar,2.98725147,0.47527178,0.469,-0.32882716,Open,14
120,Aves,Aves,Galiiformes,Red Legged Partridge,3165.380859,3.500425972,Alectoris rufa,Alectoris chukar,2.51196905,0.40001429,0.469,-0.32882716,Open,14
121,Aves,Aves,Galiiformes,Red Legged Partridge,3488.378906,3.542623652,Alectoris rufa,Alectoris chukar,2.69226177,0.43011728,0.469,-0.32882716,Open,14
122,Aves,Aves,Galiiformes,Red Legged Partridge,3746.777344,3.573657885,Alectoris rufa,Alectoris chukar,2.34375,0.36991129,0.469,-0.32882716,Open,14
123,Aves,Aves,Galiiformes,Red Legged Partridge,,,Alectoris rufa,Alectoris chukar,2.98725147,0.47527178,0.469,-0.32882716,Open,14
124,Aves,Aves,Galiiformes,Red Legged Partridge,,,Alectoris rufa,Alectoris chukar,2.98725147,0.47527178,0.469,-0.32882716,Open,14
125,Aves,Aves,Galiiformes,Red Legged Partridge,,,Alectoris rufa,Alectoris chukar,2.51196905,0.40001429,0.469,-0.32882716,Open,14
126,Aves,Aves,Galiiformes,Red Legged Partridge,,,Alectoris rufa,Alectoris chukar,2.69226177,0.43011728,0.469,-0.32882716,Open,14
127,Aves,Aves,Galiiformes,Red Legged Partridge,,,Alectoris rufa,Alectoris chukar,2.34375,0.36991129,0.469,-0.32882716,Open,14
128,Aves,Aves,Cariamiformes,Red Legged Seriema,1550.390625,3.190441134,Cariama cristata,Cariama cristata,2.88549472,0.46022028,3,0.47712126,Semi-Closed,3
129,Aves,Aves,Cariamiformes,Red Legged Seriema,1636.523438,3.21392223,Cariama cristata,Cariama cristata,2.60055345,0.41506578,3,0.47712126,Semi-Closed,3
130,Aves,Aves,Cariamiformes,Red Legged Seriema,1485.791016,3.171957728,Cariama cristata,Cariama cristata,2.78720418,0.44516878,3,0.47712126,Semi-Closed,3
131,Aves,Aves,Cariamiformes,Red Legged Seriema,1507.324219,3.178206677,Cariama cristata,Cariama cristata,2.51196905,0.40001429,3,0.47712126,Semi-Closed,3
132,Aves,Aves,Cariamiformes,Red Legged Seriema,1679.589844,3.22520324,Cariama cristata,Cariama cristata,2.69226177,0.43011728,3,0.47712126,Semi-Closed,3
133,Aves,Aves,Podecipediformes,Red Necked Grebe,2368.652344,3.374501322,Podiceps grisegena,Podicepscristatus,3.43145085,0.53547778,0.8655,-0.06273293,Shore,9
134,Aves,Aves,Podecipediformes,Red Necked Grebe,3122.314453,3.494476639,Podiceps grisegena,Podicepscristatus,4.37359215,0.64083828,0.8655,-0.06273293,Shore,9
135,Aves,Aves,Podecipediformes,Red Necked Grebe,2842.382813,3.453682568,Podiceps grisegena,Podicepscristatus,4.22461154,0.62578678,0.8655,-0.06273293,Shore,9
136,Aves,Aves,Podecipediformes,Red Necked Grebe,2476.318359,3.393806477,Podiceps grisegena,Podicepscristatus,4.22461154,0.62578678,0.8655,-0.06273293,Shore,9
137,Aves,Aves,Podecipediformes,Red Necked Grebe,2239.453125,3.350141976,Podiceps grisegena,Podicepscristatus,3.31456304,0.52042628,0.8655,-0.06273293,Shore,9
138,Aves,Aves,Gaviiformes,Red Throated Loon,1485.791016,3.171957728,Gavia stellata,Gavia stellata,4.85280433,0.68599278,1.724,0.23653726,Shore,9
139,Aves,Aves,Gaviiformes,Red Throated Loon,1442.724609,3.15918344,Gavia stellata,Gavia stellata,4.85280433,0.68599278,1.724,0.23653726,Shore,9
140,Aves,Aves,Gaviiformes,Red Throated Loon,1550.390625,3.190441134,Gavia stellata,Gavia stellata,5.02393811,0.70104428,1.724,0.23653726,Shore,9
141,Aves,Aves,Gaviiformes,Red Throated Loon,1356.591797,3.132449187,Gavia stellata,Gavia stellata,5.38452354,0.73114728,1.724,0.23653726,Shore,9
142,Aves,Aves,Gaviiformes,Red Throated Loon,1421.191406,3.152652573,Gavia stellata,Gavia stellata,5.2011069,0.71609578,1.724,0.23653726,Shore,9
143,Aves,Aves,Passeriformes,Rifleman,10895.80078,4.037259154,Acanthisitta chloris,Acanthisitta chloris,7.61486622,0.88166228,0.0065,-2.18708664,Semi-Closed,9
